As_of_Year,Respondent_ID,Agency_Code,Respondent_Name_TS,Respondent_City_TS,Respondent_State_TS,Respondent_ZIP_Code,Parent_Name_TS,Parent_City_TS,Parent_State_TS,Parent_ZIP_Code,Assets_000_Panel
2012,51-0488301,7,"GRAYSTONE MORTGAGE, LLC",SALT LAKE CITY,UT,84121,,,,,1000000
2012,51-0517525,7,"ON Q FINANCIAL, INC.",SCOTTSDALE,AZ,85251,,,,,10000
2012,5183509992,7,ROCKY MOUNTAIN MORTGAGE COMPAN,EL PASO,TX,79935,,,,,10000
2012,52-1720545,7,1ST PREFERENCE MORTGAGE CORP,BALTIMORE,MD,21236,,,,,1000000
2012,52-2075704,7,"APEX HOME LOANS, INC.",ROCKVILLE,MD,20852,,,,,47057
2012,52-2091594,7,"AMERICAN INTERNET MORTGAGE,INC",SAN DIEGO,CA,92108,,,,,10000
2012,52-2102740,7,"NFM, INC.",LINTHICUM,MD,21090-2249,,,,,8226
2012,52-2240353,7,MIDATLANTIC FARM CREDIT,WESTMINSTER,MD,21157,,,,,10000
2012,52-2276553,7,UNIVERSAL MORTGAGE & FINANCE,EDGEWATER,MD,21037,UNIVERSAL MORTGAGE & FINANCE,EDGEWATER,MD,21037,10000
2012,52-2321476,7,SOUTHWEST STAGE FUNDING LLC,MESA,AZ,85207,,,,,5889539
2012,52-2323186,7,"GUIDANCE RESIDENTIAL, LLC",RESTON,VA,20190,"GUIDANCE FINANCIAL GROUP, LLC",RESTON,VA,20190,10000
2012,52-2337558,7,TAYLOR MORRISON HOME FUNDING,MAITLAND,FL,32751,,,,,10000
2012,5222209998,7,FIRST COLONY MORTGAGE CORP.,OREM,UT,84097,,,,,10000
2012,54-0756781,7,"FARM CREDIT OF THE VIRGINIAS,",STAUNTON,VA,24401-6711,,,,,1007892000
2012,54-1094297,7,CREDIT UNION MORTGAGE ASSOC.,FAIRFAX,VA,22031,,,,,435000
2012,54-1469169,7,COLONIAL FARM CREDIT ACA,MECHANICSVILLE,VA,23111-0727,,,,,10000
2012,54-1690128,7,GREYSTONE FUNDING CORPORATION,WARRENTON,VA,20186,,,,,296854
2012,54-1822116,7,ATLANTIC BAY MORTGAGE GROUPLLC,VIRGINIA BEACH,VA,23452,,,,,10000
2012,54-1822464,7,"FIRST HERITAGE MORTGAGE, LLC",FAIRFAX,VA,22030-8608,,,,,2157
2012,54-1862878,7,CAPITAL CENTER LLC,GLEN ALLEN,VA,23060,,,,,10000
2012,54-1870627,7,"TIDEWATER MORT SERVICES, INC.",VIRGINIA BEACH,VA,23452,,,,,100000
2012,54-1969262,7,"TIDEWATER HOME FUNDING, LLC",CHESAPEAKE,VA,23320,,,,,10000
2012,54-1994393,7,WESTSTAR MORTGAGE INC,WOODBRIDGE,VA,22192,,,,,10000
2012,54-2070914,7,"E MORTGAGE MANAGEMENT, LLC",HADDON TOWNSHIP,NJ,08108,,,,,10000
2012,54-2121061,7,LANDOVER MORTGAGE,BELLEVUE,WA,98006,,,,,2000000
2012,5460909991,7,DRAGAS MORTGAGE COMPANY,VIRGINIA BEACH,VA,23462,DRAGAS MORTGAGE COMPANY,VIRGINIA BEACH,VA,23462,10000
2012,55-0873456,7,INTEGRITY HOME MORTGAGE CORP,WINCHESTER,VA,22601,,,,,1000000
2012,5548809999,7,"SOUND MORTGAGE,INC.",FEDERAL WAY,WA,98003,,,,,10000
2012,5556209999,7,MORTGAGE BROKER SERVICES INC.,SEATAC,WA,98188,,,WA,,10000
2012,56-1690755,7,"CMC FUNDING, INC.",GREENSBORO,NC,27408,,,,,10000
2012,56-1750551,7,RESIDENTIAL MORTGAGE CORP,FAYETTEVILLE,NC,28303,,,,,1643
2012,56-1769429,7,MYERS PARK MORTGAGE,CHARLOTTE,NC,28207,,,,,10000
2012,56-2103469,7,BARRONS MORTGAGE GROUP LTD,CHARLOTTE,NC,28217,,,,,6353
2012,56-2148606,7,"CAROLINA FARM CREDIT, ACA",STATESVILLE,NC,28625,,,,,10000
2012,56-2237729,7,"WYNDHAM CAPITAL MORTGAGE, INC",CHARLOTTE,NC,28210,,,,,10000
2012,56-2337793,7,MARQUEE MORTGAGE,SAN ANTONIO,TX,78258,MARQUEE MORTGAGE,SAN ANTONIO,TX,78258,100000
2012,56-2365902,7,"COVENANT MORTGAGE, LLC",WESTFORD,MA,01886,"WILLIAM RAVEIS MORTGAGE, LLC",SHELTON,CT,06484,675890
2012,56-2471041,7,OPES ADVISORS INC,LOS GATOS,CA,95032,,,,,2541
2012,57-0907935,7,GUARDIAN FIDELITY MORTGAGE INC,ROCK HILL,SC,29732,,,,,11829
2012,57-1049992,7,CORRIDOR MTG CO LLC,BRISTOL,PA,19007,,,,,12917
2012,57-1100416,7,"AGSOUTH FARM CREDIT, ACA",STATESBORO,GA,30458,,,,,10000
2012,57-1102490,7,RESOURCE FINANCIAL SERVICES,COLUMBIA,SC,29205,,,,,10000
2012,57-1171914,7,"SACRAMENTO 1ST MORTGAGE, INC.",SACRAMENTO,CA,95864,,,,,10000
2012,57-1175755,7,CROSSCOUNTRY MORTGAGE INC,BRECKSVILLE,OH,44141,,,,,10000
